date_extraction,temperature,clouds,pressure,visibility,wind_speed,humidity,wind_degree,ville
2022-04-01,13.2,4,1023.8,,8.1,67,40,Buenos Aires
2022-04-02,16.9,0,1018.6,,17.9,71,32,Buenos Aires
2022-04-03,18.5,52,1011.6,,16.6,81,1,Buenos Aires
2022-04-04,14.8,1,1015.0,,10.2,59,241,Buenos Aires
2022-04-05,16.8,0,1014.6,,11.2,66,349,Buenos Aires
2022-04-06,19.5,2,1012.3,,11.6,79,357,Buenos Aires
2022-04-07,20.1,27,1012.2,,12.1,85,87,Buenos Aires
2022-04-08,19.5,36,1013.5,,17.5,87,100,Buenos Aires
2022-04-09,18.9,16,1013.1,,14.4,89,99,Buenos Aires
2022-04-10,21.0,48,1009.0,,14.8,83,70,Buenos Aires
2022-04-11,19.5,70,1004.8,,13.8,84,252,Buenos Aires
2022-04-12,15.7,33,1009.5,,12.5,67,259,Buenos Aires
2022-04-13,13.7,0,1015.4,,11.9,65,240,Buenos Aires
2022-04-14,14.4,0,1020.2,,10.5,67,148,Buenos Aires
2022-04-15,15.5,16,1020.2,,9.7,76,85,Buenos Aires
2022-04-16,17.6,31,1020.5,,12.0,79,58,Buenos Aires
2022-04-17,18.0,98,1020.2,,12.7,80,70,Buenos Aires
2022-04-18,18.0,29,1017.3,,15.1,83,72,Buenos Aires
2022-04-19,18.8,43,1014.5,,10.0,83,64,Buenos Aires
2022-04-20,20.2,60,1012.7,,11.1,79,19,Buenos Aires
2022-04-21,16.7,48,1010.1,,11.5,72,246,Buenos Aires
2022-04-22,15.7,71,1004.3,,17.5,69,280,Buenos Aires
2022-04-23,14.6,5,1004.7,,18.3,67,319,Buenos Aires
2022-04-24,17.9,34,1005.3,,23.2,69,357,Buenos Aires
2022-04-25,20.0,49,1004.0,,21.2,84,69,Buenos Aires
2022-04-26,19.9,90,1002.4,,22.1,92,39,Buenos Aires
2022-04-27,17.7,33,1003.1,,17.3,73,239,Buenos Aires
2022-04-28,12.3,10,1016.7,,14.3,61,212,Buenos Aires
2022-04-29,9.1,0,1024.7,,10.2,64,190,Buenos Aires
2022-04-30,11.1,62,1018.8,,6.8,71,102,Buenos Aires
2022-05-01,11.6,5,1015.1,,11.0,73,191,Buenos Aires
2022-05-02,11.6,80,1020.2,,15.3,76,136,Buenos Aires
2022-05-03,10.3,9,1020.9,,7.6,75,192,Buenos Aires
2022-05-04,12.3,25,1018.5,,8.1,81,338,Buenos Aires
2022-05-05,15.3,55,1017.9,,12.3,80,347,Buenos Aires
2022-05-06,16.8,0,1019.1,,11.4,85,331,Buenos Aires
2022-05-07,17.8,12,1019.3,,14.5,85,348,Buenos Aires
2022-05-08,17.4,27,1016.5,,14.9,80,350,Buenos Aires
2022-05-09,16.2,96,1017.2,,8.5,87,80,Buenos Aires
2022-05-10,15.0,83,1015.7,,12.1,87,155,Buenos Aires
2022-05-11,13.4,67,1018.7,,15.0,77,150,Buenos Aires
2022-05-12,12.6,33,1018.1,,12.8,78,101,Buenos Aires
2022-05-13,15.1,86,1015.8,,13.7,76,8,Buenos Aires
2022-05-14,14.2,51,1016.7,,11.9,72,204,Buenos Aires
2022-05-15,10.9,44,1018.7,,17.6,61,230,Buenos Aires
2022-05-16,12.1,64,1018.6,,30.7,67,217,Buenos Aires
2022-05-17,11.6,100,1019.6,,33.9,72,203,Buenos Aires
2022-05-18,10.7,69,1022.6,,17.0,70,190,Buenos Aires
2022-05-19,10.3,42,1019.3,,8.1,78,324,Buenos Aires
2022-05-20,12.2,26,1015.3,,14.6,80,330,Buenos Aires
2022-05-21,13.9,38,1017.2,,9.6,78,306,Buenos Aires
2022-05-22,12.5,69,1016.9,,12.0,90,356,Buenos Aires
2022-05-23,15.0,96,1013.7,,12.9,84,16,Buenos Aires
2022-05-24,15.7,85,1012.0,,13.6,81,346,Buenos Aires
2022-05-25,11.2,82,1017.2,,21.0,89,151,Buenos Aires
2022-05-26,9.7,10,1022.2,,16.9,80,132,Buenos Aires
2022-05-27,11.0,41,1016.5,,11.6,78,149,Buenos Aires
2022-05-28,10.5,71,1012.6,,7.9,82,102,Buenos Aires
2022-05-29,7.9,34,1012.8,,14.7,68,224,Buenos Aires
2022-05-30,5.7,5,1017.3,,16.7,62,239,Buenos Aires
2022-05-31,5.0,16,1020.0,,7.8,72,241,Buenos Aires
2022-06-01,5.7,57,1020.1,,5.8,71,210,Buenos Aires
2022-06-02,6.2,0,1022.6,,6.9,72,160,Buenos Aires
2022-06-03,8.1,42,1024.1,,13.6,75,62,Buenos Aires
2022-06-04,10.4,70,1018.1,,14.5,83,61,Buenos Aires
2022-06-05,11.6,88,1014.1,,6.3,90,131,Buenos Aires
2022-06-06,9.1,34,1014.5,,6.6,91,132,Buenos Aires
2022-06-07,9.7,61,1013.5,,8.1,94,2,Buenos Aires
2022-06-08,8.8,70,1014.9,,6.4,93,338,Buenos Aires
2022-06-09,10.9,74,1016.9,,11.9,88,241,Buenos Aires
2022-06-10,6.2,0,1023.9,,20.9,57,229,Buenos Aires
2022-06-11,6.5,0,1021.8,,14.8,57,250,Buenos Aires
2022-06-12,8.1,5,1021.2,,6.9,72,314,Buenos Aires
2022-06-13,11.3,54,1019.9,,14.5,76,6,Buenos Aires
2022-06-14,12.4,66,1014.9,,16.3,78,10,Buenos Aires
2022-06-15,12.2,96,1013.5,,10.0,87,3,Buenos Aires
2022-06-16,11.2,82,1010.8,,6.7,94,179,Buenos Aires
2022-06-17,8.9,26,1010.2,,23.7,65,238,Buenos Aires
2022-06-18,8.1,8,1015.4,,16.5,54,302,Buenos Aires
2022-06-19,11.0,62,1014.9,,18.6,62,315,Buenos Aires
2022-06-20,10.5,84,1014.8,,9.3,78,81,Buenos Aires
2022-06-21,10.5,66,1014.0,,18.4,77,148,Buenos Aires
2022-06-22,7.1,87,1018.7,,22.0,68,145,Buenos Aires
2022-06-23,7.5,47,1019.5,,14.1,71,137,Buenos Aires
2022-06-24,8.9,91,1022.8,,12.7,80,138,Buenos Aires
2022-06-25,6.4,97,1029.1,,12.0,76,165,Buenos Aires
2022-06-26,8.3,100,1023.5,,14.0,77,66,Buenos Aires
2022-06-27,10.3,100,1015.7,,7.8,78,336,Buenos Aires
2022-06-28,10.4,73,1015.2,,12.1,74,253,Buenos Aires
2022-06-29,11.5,33,1012.0,,18.9,66,323,Buenos Aires
2022-06-30,10.8,27,1015.6,,11.6,71,231,Buenos Aires
2022-07-01,10.5,41,1008.4,,17.3,85,41,Buenos Aires
2022-07-02,9.3,5,1012.4,,15.2,76,235,Buenos Aires
2022-07-03,8.1,26,1019.4,,9.2,76,86,Buenos Aires
2022-07-04,9.8,65,1014.7,,13.3,88,115,Buenos Aires
2022-07-05,10.0,63,1015.7,,11.8,91,114,Buenos Aires
2022-07-06,11.5,73,1007.8,,12.6,95,62,Buenos Aires
2022-07-07,9.7,14,1014.3,,18.1,60,245,Buenos Aires
2022-07-08,8.5,54,1018.9,,18.0,69,90,Buenos Aires
2022-07-09,15.2,70,1007.0,,17.6,89,38,Buenos Aires
2022-07-10,17.2,80,1002.5,,21.7,79,280,Buenos Aires
2022-07-11,10.5,93,1009.2,,24.3,70,181,Buenos Aires
2022-07-12,7.6,35,1017.4,,13.9,73,270,Buenos Aires
2022-07-13,10.3,13,1014.8,,20.9,80,6,Buenos Aires
2022-07-14,11.5,64,1008.2,,15.8,86,86,Buenos Aires
2022-07-15,10.7,96,1006.7,,17.5,90,189,Buenos Aires
2022-07-16,9.3,95,1009.5,,24.6,78,205,Buenos Aires
2022-07-17,7.6,26,1016.3,,18.9,71,311,Buenos Aires
2022-07-18,9.7,46,1020.2,,15.6,74,307,Buenos Aires
2022-07-19,9.6,3,1022.7,,11.6,79,65,Buenos Aires
2022-07-20,12.4,10,1012.4,,15.7,84,359,Buenos Aires
2022-07-21,12.7,56,1011.1,,15.2,85,142,Buenos Aires
2022-07-22,11.4,17,1012.8,,14.3,91,106,Buenos Aires
2022-07-23,13.9,64,1011.4,,12.6,96,83,Buenos Aires
2022-07-24,14.2,100,1013.5,,19.8,96,122,Buenos Aires
2022-07-25,13.9,94,1015.4,,23.8,95,112,Buenos Aires
2022-07-26,16.9,86,1013.9,,14.1,94,73,Buenos Aires
2022-07-27,17.3,94,1009.8,,17.5,96,75,Buenos Aires
2022-07-28,12.3,49,1011.2,,27.4,75,221,Buenos Aires
2022-07-29,9.7,0,1015.6,,11.8,69,254,Buenos Aires
2022-07-30,12.1,16,1015.2,,10.2,76,350,Buenos Aires
2022-07-31,12.9,57,1016.0,,8.5,83,35,Buenos Aires
2022-08-01,12.5,32,1015.8,,10.0,87,81,Buenos Aires
2022-08-02,12.2,61,1015.2,,14.8,88,88,Buenos Aires
2022-08-03,12.2,78,1013.3,,15.6,90,152,Buenos Aires
2022-08-04,10.0,84,1013.8,,17.3,80,178,Buenos Aires
2022-08-05,9.3,8,1016.9,,8.8,75,226,Buenos Aires
2022-08-06,11.0,71,1018.9,,15.4,73,90,Buenos Aires
2022-08-07,10.6,83,1021.6,,22.9,77,113,Buenos Aires
